model	subset	seed	split	traj_idx	n_steps	step_idx	role	base	oriented	normalized	final	base_rank	final_rank	is_gold	is_base_pred	is_soap_pred
qwen3.5-9b	algorithm-generated	11	test	118	10	0	WeatherData_Expert	73.72813415527344	0.013563343323767185	0.013563343323767185	0.024678360670804977	4	3	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	1	Statistics_Expert	47.40001678466797	0.02109703980386257	0.02109703980386257	0.02997269108891487	2	1	True	False	True
qwen3.5-9b	algorithm-generated	11	test	118	10	2	Computer_terminal	78.6805648803711	0.012709618546068668	0.012709618546068668	0.012709618546068668	6	6	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	3	Verification_Expert	52.546241760253906	0.01903085596859455	0.01903085596859455	0.025811074301600456	3	2	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	4	Computer_terminal	91.01853942871094	0.010986772365868092	0.010986772365868092	0.010986772365868092	8	8	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	5	Verification_Expert	78.35980224609375	0.012761645019054413	0.012761645019054413	0.012761645019054413	5	5	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	6	Computer_terminal	98.4962387084961	0.010152671486139297	0.010152671486139297	0.010152671486139297	10	10	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	7	Statistics_Expert	79.12779998779297	0.012637783773243427	0.012637783773243427	0.012637783773243427	7	7	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	8	Computer_terminal	93.22286987304688	0.010726981796324253	0.010726981796324253	0.010726981796324253	9	9	False	False	False
qwen3.5-9b	algorithm-generated	11	test	118	10	9	WeatherData_Expert	42.10337448120117	0.023751065135002136	0.023751065135002136	0.023751065135002136	1	4	False	True	False
