with_gt	dataset	model	subset	seeds	position	c_begin	c_end	row	gamma	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
False	ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	base	0.0	0.3915343915343915	0.5238095238095238	0.38461538461538464	0.5128205128205128
False	ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	uniform-unnorm	0.6	0.1693121693121693	0.49206349206349204	0.21794871794871795	0.5128205128205128
False	ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	uniform-norm	0.6	0.4021164021164021	0.5291005291005292	0.34615384615384615	0.5128205128205128
False	ww	qwen3.5-9b	algorithm-generated	3,4,5	act/27	1	7	soap	0.6	0.4761904761904761	0.6031746031746031	0.4487179487179487	0.576923076923077
False	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	base	0.0	0.3333333333333333	0.6781609195402298	0.19444444444444445	0.6388888888888888
False	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	uniform-unnorm	0.1	0.16091954022988506	0.5977011494252874	0.2222222222222222	0.5833333333333333
False	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	uniform-norm	0.1	0.3448275862068965	0.6781609195402298	0.19444444444444445	0.611111111111111
False	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	soap	0.1	0.3448275862068966	0.6781609195402298	0.1944444444444444	0.6111111111111112
False	ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	base	0.0	0.3862433862433862	0.5873015873015873	0.28205128205128205	0.5512820512820513
False	ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	uniform-unnorm	1.0	0.164021164021164	0.5291005291005291	0.20512820512820512	0.5
False	ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	uniform-norm	1.0	0.3544973544973545	0.544973544973545	0.2948717948717949	0.576923076923077
False	ww	deepseek-8b	algorithm-generated	3,4,5	act/3	1	5	soap	1.0	0.4550264550264549	0.6190476190476191	0.3461538461538461	0.6153846153846154
False	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	base	0.0	0.28735632183908044	0.6551724137931034	0.1111111111111111	0.611111111111111
False	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	uniform-unnorm	0.0	0.28735632183908044	0.6551724137931034	0.1111111111111111	0.611111111111111
False	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	uniform-norm	0.0	0.28735632183908044	0.6551724137931034	0.1111111111111111	0.611111111111111
False	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	soap	0.0	0.2873563218390804	0.6551724137931035	0.111111111111111	0.6111111111111112
True	ww	qwen3.5-9b	algorithm-generated	38,39,40	act/27	1	11	base	0.0	0.4126984126984127	0.5714285714285715	0.32051282051282054	0.5384615384615384
True	ww	qwen3.5-9b	algorithm-generated	38,39,40	act/27	1	11	uniform-unnorm	1.0	0.12698412698412698	0.46560846560846564	0.16666666666666666	0.49999999999999994
True	ww	qwen3.5-9b	algorithm-generated	38,39,40	act/27	1	11	uniform-norm	1.0	0.4074074074074074	0.5608465608465609	0.358974358974359	0.5512820512820513
True	ww	qwen3.5-9b	algorithm-generated	38,39,40	act/27	1	11	soap	1.0	0.4338624338624338	0.5925925925925926	0.3461538461538462	0.5384615384615384
True	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	base	0.0	0.3333333333333333	0.6781609195402298	0.19444444444444445	0.6388888888888888
True	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	uniform-unnorm	0.1	0.16091954022988506	0.6206896551724138	0.2222222222222222	0.5277777777777778
True	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	uniform-norm	0.1	0.33333333333333337	0.6666666666666666	0.19444444444444445	0.6388888888888888
True	ww	qwen3.5-9b	hand-crafted	13,14,15	act/31	0	5	soap	0.1	0.3448275862068966	0.6781609195402298	0.1944444444444444	0.6111111111111112
True	ww	deepseek-8b	algorithm-generated	38,39,40	act/30	1	16	base	0.0	0.4021164021164021	0.5820105820105821	0.34615384615384615	0.6025641025641026
True	ww	deepseek-8b	algorithm-generated	38,39,40	act/30	1	16	uniform-unnorm	0.8	0.12698412698412698	0.46560846560846564	0.16666666666666666	0.49999999999999994
True	ww	deepseek-8b	algorithm-generated	38,39,40	act/30	1	16	uniform-norm	0.8	0.3968253968253968	0.6031746031746033	0.3461538461538462	0.5512820512820512
True	ww	deepseek-8b	algorithm-generated	38,39,40	act/30	1	16	soap	0.8	0.4497354497354496	0.6137566137566138	0.2564102564102564	0.4743589743589743
True	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	base	0.0	0.2988505747126437	0.6551724137931034	0.1111111111111111	0.611111111111111
True	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	uniform-unnorm	0.0	0.2988505747126437	0.6551724137931034	0.1111111111111111	0.611111111111111
True	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	uniform-norm	0.0	0.2988505747126437	0.6551724137931034	0.1111111111111111	0.611111111111111
True	ww	deepseek-8b	hand-crafted	13,14,15	act/31	0	4	soap	0.0	0.2988505747126436	0.6551724137931035	0.111111111111111	0.6111111111111112
False	correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	base	0.0	0.8135964912280701	0.8640350877192983	0.8032786885245902	0.8743169398907104
False	correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	uniform-unnorm	0.1	0.8004385964912282	0.868421052631579	0.7704918032786885	0.8579234972677596
False	correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	uniform-norm	0.1	0.8114035087719298	0.8640350877192983	0.8032786885245902	0.8633879781420766
False	correct-error	qwen3.5-9b	arc	17,18,19	embed	1	3	soap	0.1	0.8157894736842106	0.8640350877192983	0.8087431693989071	0.8633879781420766
False	correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	base	0.0	0.68	0.7866666666666666	0.5333333333333333	0.5333333333333333
False	correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	uniform-unnorm	0.2	0.6666666666666667	0.7733333333333333	0.5666666666666667	0.5333333333333333
False	correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	uniform-norm	0.2	0.68	0.76	0.5333333333333333	0.5333333333333333
False	correct-error	qwen3.5-9b	gaia	17,18,19	ens-mid3	1	4	soap	0.2	0.6933333333333334	0.7733333333333334	0.5333333333333333	0.5333333333333333
False	correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	base	0.0	0.45674740484429066	0.6885813148788926	0.4827586206896552	0.7270114942528736
False	correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	uniform-unnorm	0.2	0.3333333333333333	0.7081891580161477	0.34195402298850575	0.7557471264367817
False	correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	uniform-norm	0.2	0.42675893886966554	0.6724336793540946	0.4540229885057472	0.7212643678160919
False	correct-error	qwen3.5-9b	hotpot	17,18,19	act/15	1	3	soap	0.2	0.4648212226066897	0.6897347174163784	0.4827586206896551	0.7270114942528735
False	correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	base	0.0	0.6118143459915611	0.6033755274261604	0.5416666666666666	0.5416666666666666
False	correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	uniform-unnorm	0.0	0.6118143459915611	0.6033755274261604	0.5416666666666666	0.5416666666666666
False	correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	uniform-norm	0.0	0.6118143459915611	0.6033755274261604	0.5416666666666666	0.5416666666666666
False	correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	soap	0.0	0.6118143459915611	0.6033755274261603	0.5416666666666666	0.5416666666666666
False	correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	base	0.0	0.7971014492753623	0.8188405797101449	0.6666666666666667	0.7368421052631579
False	correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	uniform-unnorm	0.0	0.7971014492753623	0.8188405797101449	0.6666666666666667	0.7368421052631579
False	correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	uniform-norm	0.0	0.7971014492753623	0.8188405797101449	0.6666666666666667	0.7368421052631579
False	correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	soap	0.0	0.7971014492753623	0.818840579710145	0.6666666666666666	0.7368421052631579
False	correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	base	0.0	0.4358974358974359	0.7371794871794872	0.41798941798941797	0.6931216931216931
False	correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	uniform-unnorm	0.0	0.4358974358974359	0.7371794871794872	0.41798941798941797	0.6931216931216931
False	correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	uniform-norm	0.0	0.4358974358974359	0.7371794871794872	0.41798941798941797	0.6931216931216931
False	correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	soap	0.0	0.4358974358974358	0.7371794871794872	0.4179894179894179	0.693121693121693
False	correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	base	0.0	0.5013623978201635	0.7002724795640327	0.47845804988662133	0.7188208616780045
False	correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	uniform-unnorm	0.1	0.40417801998183467	0.6748410535876476	0.3786848072562359	0.6938775510204082
False	correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	uniform-norm	0.1	0.4913714804722979	0.6993642143505904	0.47392290249433106	0.7210884353741497
False	correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	soap	0.1	0.505903723887375	0.6975476839237057	0.4829931972789116	0.7188208616780045
False	correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	base	0.0	0.8771929824561404	0.8925438596491229	0.8306010928961749	0.8524590163934427
False	correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	uniform-unnorm	0.0	0.8771929824561404	0.8925438596491229	0.8306010928961749	0.8524590163934427
False	correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	uniform-norm	0.0	0.8771929824561404	0.8925438596491229	0.8306010928961749	0.8524590163934427
False	correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	soap	0.0	0.8771929824561404	0.8925438596491228	0.8306010928961749	0.8524590163934427
False	correct-error	deepseek-8b	gaia	17,18,19	act/13	0	4	base	0.0	0.72	0.8533333333333333	0.6	0.7666666666666666
False	correct-error	deepseek-8b	gaia	17,18,19	act/13	0	4	uniform-unnorm	0.0	0.72	0.8533333333333333	0.6	0.7666666666666666
False	correct-error	deepseek-8b	gaia	17,18,19	act/13	0	4	uniform-norm	0.0	0.72	0.8533333333333333	0.6	0.7666666666666666
False	correct-error	deepseek-8b	gaia	17,18,19	act/13	0	4	soap	0.0	0.7200000000000001	0.8533333333333334	0.6	0.7666666666666666
False	correct-error	deepseek-8b	hotpot	17,18,19	act/16	0	4	base	0.0	0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
False	correct-error	deepseek-8b	hotpot	17,18,19	act/16	0	4	uniform-unnorm	0.0	0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
False	correct-error	deepseek-8b	hotpot	17,18,19	act/16	0	4	uniform-norm	0.0	0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
False	correct-error	deepseek-8b	hotpot	17,18,19	act/16	0	4	soap	0.0	0.5271049596309112	0.698961937716263	0.4942528735632184	0.6752873563218391
False	correct-error	deepseek-8b	math500	17,18,19	act/15	1	3	base	0.0	0.5991561181434599	0.5864978902953586	0.5625	0.65625
False	correct-error	deepseek-8b	math500	17,18,19	act/15	1	3	uniform-unnorm	0.0	0.5991561181434599	0.5864978902953586	0.5625	0.65625
False	correct-error	deepseek-8b	math500	17,18,19	act/15	1	3	uniform-norm	0.0	0.5991561181434599	0.5864978902953586	0.5625	0.65625
False	correct-error	deepseek-8b	math500	17,18,19	act/15	1	3	soap	0.0	0.5991561181434598	0.5864978902953587	0.5625	0.65625
