model	source	target	convention	row	position	c_begin	c_end	layer_range	gamma	w	src_seeds	tgt_seeds	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
deepseek-8b	TE-Mag	WW-AG	test	base	act/17	5	11		0.0		15,16,17	3,4,5	0.3386243386243386	0.5343915343915344	0.20634920634920637	0.4444444444444444
deepseek-8b	TE-Mag	WW-AG	test	soap	act/17	5	11	8-16	0.2	1	15,16,17	3,4,5	0.3544973544973545	0.5502645502645502	0.20634920634920637	0.4338624338624339
deepseek-8b	TE-Mag	WW-AG	val	base	act/25	4	18		0.0		15,16,17	3,4,5	0.25925925925925924	0.42328042328042326	0.30158730158730157	0.5238095238095238
deepseek-8b	TE-Mag	WW-AG	val	soap	act/25	4	18	24-32	0.4	1	15,16,17	3,4,5	0.31216931216931215	0.4761904761904761	0.32275132275132273	0.5291005291005291
deepseek-8b	TE-Mag	WW-HC	test	base	act/6	1	2		0.0		15,16,17	13,14,15	0.28735632183908044	0.7011494252873564	0.1724137931034483	0.7011494252873564
deepseek-8b	TE-Mag	WW-HC	test	soap	act/6	1	2	0-8	1.0	3	15,16,17	13,14,15	0.2988505747126437	0.7011494252873564	0.16091954022988506	0.689655172413793
deepseek-8b	TE-Mag	WW-HC	val	base	act/10	0	3		0.0		15,16,17	13,14,15	0.2413793103448276	0.5402298850574713	0.22988505747126434	0.6091954022988506
deepseek-8b	TE-Mag	WW-HC	val	soap	act/10	0	3	8-16	0.0	all	15,16,17	13,14,15	0.2413793103448276	0.5402298850574713	0.22988505747126434	0.6091954022988506
deepseek-8b	TE-Mag	TE-Mag	test	base	act/10	0	4		0.0		15,16,17	15,16,17	0.2971014492753623	0.6231884057971014	0.2518518518518518	0.6074074074074074
deepseek-8b	TE-Mag	TE-Mag	test	soap	act/10	0	4	24-32	0.1	1	15,16,17	15,16,17	0.3043478260869565	0.6231884057971014	0.24444444444444446	0.6222222222222222
deepseek-8b	TE-Mag	TE-Mag	val	base	act/5	0	14		0.0		15,16,17	15,16,17	0.2101449275362319	0.4565217391304348	0.2888888888888889	0.4666666666666666
deepseek-8b	TE-Mag	TE-Mag	val	soap	act/5	0	14	8-16	0.0	all	15,16,17	15,16,17	0.2101449275362319	0.4565217391304348	0.2888888888888889	0.4666666666666666
deepseek-8b	TE-Mag	TE-Cap	test	base	act/29	0	10		0.0		15,16,17	22,23,24	0.3023255813953488	0.5581395348837209	0.2698412698412698	0.5396825396825397
deepseek-8b	TE-Mag	TE-Cap	test	soap	act/29	0	10	16-24	0.4	1	15,16,17	22,23,24	0.3023255813953488	0.6124031007751939	0.29365079365079366	0.6825396825396824
deepseek-8b	TE-Mag	TE-Cap	val	base	act/5	0	8		0.0		15,16,17	22,23,24	0.27906976744186046	0.48062015503875966	0.2857142857142857	0.5952380952380952
deepseek-8b	TE-Mag	TE-Cap	val	soap	act/5	0	8	0-8	0.1	2	15,16,17	22,23,24	0.23255813953488372	0.4573643410852713	0.30952380952380953	0.6111111111111112
