model	source	target	src_seeds	tgt_seeds	position	c_begin	c_end	row	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
deepseek-8b	WW-AG	WW-AG	3,4,5	3,4,5	act/3	1	5	base		0.0		0.3862433862433862	0.5873015873015873	0.28205128205128205	0.5512820512820512
deepseek-8b	WW-AG	WW-AG	3,4,5	3,4,5	act/3	1	5	soap	24-32	1.0	1	0.45502645502645506	0.6190476190476191	0.3461538461538461	0.6153846153846154
deepseek-8b	WW-AG	WW-HC	3,4,5	13,14,15	act/10	0	2	base		0.0		0.2528735632183908	0.6206896551724138	0.08333333333333333	0.638888888888889
deepseek-8b	WW-AG	WW-HC	3,4,5	13,14,15	act/10	0	2	soap	8-16	0.0	all	0.2528735632183908	0.6206896551724138	0.08333333333333333	0.638888888888889
deepseek-8b	WW-AG	TE-Mag	3,4,5	15,16,17	ens-mid3	0	7	base		0.0		0.2971014492753623	0.6521739130434782	0.20370370370370372	0.5555555555555555
deepseek-8b	WW-AG	TE-Mag	3,4,5	15,16,17	ens-mid3	0	7	soap	24-32	0.1	1	0.3043478260869565	0.6521739130434783	0.24074074074074073	0.5370370370370371
deepseek-8b	WW-AG	TE-Cap	3,4,5	22,23,24	act/22	0	3	base		0.0		0.3488372093023256	0.5968992248062015	0.3137254901960784	0.5294117647058824
deepseek-8b	WW-AG	TE-Cap	3,4,5	22,23,24	act/22	0	3	soap	8-16	0.0	all	0.3488372093023256	0.5968992248062015	0.3137254901960784	0.5294117647058824
deepseek-8b	WW-HC	WW-AG	13,14,15	3,4,5	act/15	0	4	base		0.0		0.3703703703703704	0.5343915343915343	0.3076923076923077	0.5769230769230769
deepseek-8b	WW-HC	WW-AG	13,14,15	3,4,5	act/15	0	4	soap	0-8	0.1	1	0.4074074074074074	0.5661375661375662	0.3461538461538461	0.5897435897435898
deepseek-8b	WW-HC	WW-HC	13,14,15	13,14,15	act/31	0	4	base		0.0		0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
deepseek-8b	WW-HC	WW-HC	13,14,15	13,14,15	act/31	0	4	soap	8-16	0.0	all	0.2873563218390805	0.6551724137931035	0.1111111111111111	0.6111111111111112
deepseek-8b	WW-HC	TE-Mag	13,14,15	15,16,17	act/15	0	8	base		0.0		0.3043478260869565	0.5797101449275363	0.25925925925925924	0.4444444444444444
deepseek-8b	WW-HC	TE-Mag	13,14,15	15,16,17	act/15	0	8	soap	0-8	0.1	1	0.3333333333333333	0.6304347826086957	0.24074074074074073	0.5
deepseek-8b	WW-HC	TE-Cap	13,14,15	22,23,24	act/31_normed	0	4	base		0.0		0.37209302325581395	0.627906976744186	0.2745098039215686	0.6078431372549019
deepseek-8b	WW-HC	TE-Cap	13,14,15	22,23,24	act/31_normed	0	4	soap	24-32	0.8	3	0.42635658914728686	0.6821705426356589	0.29411764705882354	0.5686274509803922
deepseek-8b	TE-Mag	WW-AG	15,16,17	3,4,5	act/17	5	11	base		0.0		0.3386243386243386	0.5343915343915344	0.21794871794871795	0.4358974358974359
deepseek-8b	TE-Mag	WW-AG	15,16,17	3,4,5	act/17	5	11	soap	8-16	0.2	1	0.3544973544973545	0.5502645502645502	0.2435897435897436	0.4358974358974359
deepseek-8b	TE-Mag	WW-HC	15,16,17	13,14,15	act/6	1	2	base		0.0		0.28735632183908044	0.7011494252873564	0.13888888888888887	0.6111111111111112
deepseek-8b	TE-Mag	WW-HC	15,16,17	13,14,15	act/6	1	2	soap	0-8	1.0	3	0.2988505747126437	0.7011494252873564	0.1111111111111111	0.5833333333333334
deepseek-8b	TE-Mag	TE-Mag	15,16,17	15,16,17	act/10	0	4	base		0.0		0.2971014492753623	0.6231884057971014	0.16666666666666666	0.5185185185185185
deepseek-8b	TE-Mag	TE-Mag	15,16,17	15,16,17	act/10	0	4	soap	24-32	0.1	1	0.3043478260869565	0.6231884057971014	0.1851851851851852	0.5185185185185185
deepseek-8b	TE-Mag	TE-Cap	15,16,17	22,23,24	act/29	0	10	base		0.0		0.3023255813953488	0.5581395348837209	0.3137254901960784	0.5490196078431372
deepseek-8b	TE-Mag	TE-Cap	15,16,17	22,23,24	act/29	0	10	soap	16-24	0.4	1	0.3023255813953488	0.6124031007751939	0.29411764705882354	0.6470588235294117
deepseek-8b	TE-Cap	WW-AG	22,23,24	3,4,5	act/3	13	20	base		0.0		0.2857142857142857	0.49206349206349204	0.1923076923076923	0.4102564102564103
deepseek-8b	TE-Cap	WW-AG	22,23,24	3,4,5	act/3	13	20	soap	24-32	0.4	3	0.2962962962962963	0.4920634920634921	0.1923076923076923	0.4230769230769231
deepseek-8b	TE-Cap	WW-HC	22,23,24	13,14,15	act/9	0	7	base		0.0		0.3218390804597701	0.5862068965517242	0.16666666666666666	0.638888888888889
deepseek-8b	TE-Cap	WW-HC	22,23,24	13,14,15	act/9	0	7	soap	8-16	0.0	all	0.3218390804597701	0.5862068965517242	0.16666666666666666	0.638888888888889
deepseek-8b	TE-Cap	TE-Mag	22,23,24	15,16,17	act/14	0	20	base		0.0		0.2898550724637681	0.6521739130434783	0.14814814814814814	0.5370370370370371
deepseek-8b	TE-Cap	TE-Mag	22,23,24	15,16,17	act/14	0	20	soap	8-16	0.0	all	0.2898550724637681	0.6521739130434783	0.14814814814814814	0.5370370370370371
deepseek-8b	TE-Cap	TE-Cap	22,23,24	22,23,24	act/31_normed	0	18	base		0.0		0.40310077519379844	0.6356589147286822	0.2549019607843137	0.607843137254902
deepseek-8b	TE-Cap	TE-Cap	22,23,24	22,23,24	act/31_normed	0	18	soap	8-16	0.2	all	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
