dataset	model	subset	seeds	fraction	n_train	position	c_begin	c_end	row	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
traceelephant	deepseek-8b	magentic	15,16,17	1/3	9,9,9	act/10	0	4	base		0.0		0.3115942028985507	0.6159420289855073	0.2222222222222222	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	1/3	9,9,9	act/10	0	4	soap	24-32	0.1	5	0.31884057971014496	0.6304347826086957	0.24074074074074073	0.5
traceelephant	deepseek-8b	magentic	15,16,17	2/3	18,18,18	act/9	0	5	base		0.0		0.30434782608695654	0.6159420289855073	0.16666666666666666	0.5555555555555556
traceelephant	deepseek-8b	magentic	15,16,17	2/3	18,18,18	act/9	0	5	soap	24-32	0.1	1	0.30434782608695654	0.6231884057971014	0.2037037037037037	0.5370370370370371
traceelephant	deepseek-8b	magentic	15,16,17	1	27,27,27	act/10	0	4	base		0.0		0.2971014492753623	0.6231884057971014	0.16666666666666666	0.5185185185185185
traceelephant	deepseek-8b	magentic	15,16,17	1	27,27,27	act/10	0	4	soap	24-32	0.1	1	0.3043478260869565	0.6231884057971014	0.1851851851851852	0.5185185185185185
traceelephant	deepseek-8b	captain	22,23,24	1/3	8,8,8	act/31_normed	0	16	base		0.0		0.372093023255814	0.6124031007751938	0.2549019607843137	0.5686274509803922
traceelephant	deepseek-8b	captain	22,23,24	1/3	8,8,8	act/31_normed	0	16	soap	8-16	0.2	all	0.4186046511627907	0.6434108527131782	0.2745098039215686	0.5882352941176471
traceelephant	deepseek-8b	captain	22,23,24	2/3	17,17,17	act/31_normed	0	17	base		0.0		0.3953488372093023	0.6356589147286821	0.2352941176470588	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	2/3	17,17,17	act/31_normed	0	17	soap	8-16	0.2	all	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
traceelephant	deepseek-8b	captain	22,23,24	1	25,25,25	act/31_normed	0	18	base		0.0		0.40310077519379844	0.6356589147286822	0.2549019607843137	0.607843137254902
traceelephant	deepseek-8b	captain	22,23,24	1	25,25,25	act/31_normed	0	18	soap	8-16	0.2	all	0.42635658914728686	0.6511627906976744	0.3333333333333333	0.6274509803921569
