model	source	target	convention	row	position	c_begin	c_end	layer_range	gamma	w	src_seeds	tgt_seeds	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
deepseek-8b	WW-AG	WW-AG	test	base	act/3	1	5		0.0		3,4,5	3,4,5	0.3862433862433862	0.5873015873015873	0.291005291005291	0.5608465608465608
deepseek-8b	WW-AG	WW-AG	test	soap	act/3	1	5	24-32	1.0	1	3,4,5	3,4,5	0.45502645502645506	0.6190476190476191	0.36507936507936506	0.5925925925925926
deepseek-8b	WW-AG	WW-AG	val	base	act/23	1	11		0.0		3,4,5	3,4,5	0.3386243386243386	0.4656084656084656	0.3703703703703704	0.5925925925925926
deepseek-8b	WW-AG	WW-AG	val	soap	act/23	1	11	16-24	0.6	1	3,4,5	3,4,5	0.4074074074074074	0.544973544973545	0.4074074074074074	0.6243386243386243
deepseek-8b	WW-AG	WW-HC	test	base	act/10	0	2		0.0		3,4,5	13,14,15	0.2528735632183908	0.6206896551724138	0.14942528735632185	0.6206896551724138
deepseek-8b	WW-AG	WW-HC	test	soap	act/10	0	2	8-16	0.0	all	3,4,5	13,14,15	0.2528735632183908	0.6206896551724138	0.14942528735632185	0.6206896551724138
deepseek-8b	WW-AG	WW-HC	val	base	act/11	0	2		0.0		3,4,5	13,14,15	0.20689655172413793	0.4482758620689655	0.1839080459770115	0.5517241379310346
deepseek-8b	WW-AG	WW-HC	val	soap	act/11	0	2	8-16	0.0	all	3,4,5	13,14,15	0.20689655172413793	0.4482758620689655	0.1839080459770115	0.5517241379310346
deepseek-8b	WW-AG	TE-Mag	test	base	ens-mid3	0	7		0.0		3,4,5	15,16,17	0.2971014492753623	0.6521739130434782	0.24444444444444444	0.5925925925925927
deepseek-8b	WW-AG	TE-Mag	test	soap	ens-mid3	0	7	24-32	0.1	1	3,4,5	15,16,17	0.3043478260869565	0.6521739130434783	0.2740740740740741	0.5925925925925926
deepseek-8b	WW-AG	TE-Mag	val	base	act/11	0	4		0.0		3,4,5	15,16,17	0.27536231884057966	0.5942028985507246	0.28148148148148144	0.5925925925925926
deepseek-8b	WW-AG	TE-Mag	val	soap	act/11	0	4	8-16	0.0	all	3,4,5	15,16,17	0.27536231884057966	0.5942028985507246	0.28148148148148144	0.5925925925925926
deepseek-8b	WW-AG	TE-Cap	test	base	act/22	0	3		0.0		3,4,5	22,23,24	0.3488372093023256	0.5968992248062015	0.2698412698412698	0.5476190476190477
deepseek-8b	WW-AG	TE-Cap	test	soap	act/22	0	3	8-16	0.0	all	3,4,5	22,23,24	0.3488372093023256	0.5968992248062015	0.2698412698412698	0.5476190476190477
deepseek-8b	WW-AG	TE-Cap	val	base	act/19	2	4		0.0		3,4,5	22,23,24	0.2558139534883721	0.5968992248062016	0.29365079365079366	0.7142857142857143
deepseek-8b	WW-AG	TE-Cap	val	soap	act/19	2	4	8-16	0.1	all	3,4,5	22,23,24	0.2558139534883721	0.5968992248062016	0.29365079365079366	0.7142857142857143
deepseek-8b	WW-HC	WW-AG	test	base	act/15	0	4		0.0		13,14,15	3,4,5	0.3703703703703704	0.5343915343915343	0.2698412698412698	0.5079365079365079
deepseek-8b	WW-HC	WW-AG	test	soap	act/15	0	4	0-8	0.1	1	13,14,15	3,4,5	0.4074074074074074	0.5661375661375662	0.3068783068783068	0.5132275132275131
deepseek-8b	WW-HC	WW-AG	val	base	act/13	0	5		0.0		13,14,15	3,4,5	0.3068783068783069	0.4761904761904762	0.3068783068783069	0.5185185185185185
deepseek-8b	WW-HC	WW-AG	val	soap	act/13	0	5	0-8	0.4	1	13,14,15	3,4,5	0.3968253968253968	0.5767195767195767	0.34920634920634913	0.5238095238095238
deepseek-8b	WW-HC	WW-HC	test	base	act/31	0	4		0.0		13,14,15	13,14,15	0.2873563218390805	0.6551724137931035	0.14942528735632185	0.6666666666666666
deepseek-8b	WW-HC	WW-HC	test	soap	act/31	0	4	8-16	0.0	all	13,14,15	13,14,15	0.2873563218390805	0.6551724137931035	0.14942528735632185	0.6666666666666666
deepseek-8b	WW-HC	WW-HC	val	base	act/31_normed	0	10		0.0		13,14,15	13,14,15	0.2413793103448276	0.632183908045977	0.2298850574712644	0.632183908045977
deepseek-8b	WW-HC	WW-HC	val	soap	act/31_normed	0	10	8-16	0.0	all	13,14,15	13,14,15	0.2413793103448276	0.632183908045977	0.2298850574712644	0.632183908045977
deepseek-8b	WW-HC	TE-Mag	test	base	act/15	0	8		0.0		13,14,15	15,16,17	0.3043478260869565	0.5797101449275363	0.25925925925925924	0.5703703703703703
deepseek-8b	WW-HC	TE-Mag	test	soap	act/15	0	8	0-8	0.1	1	13,14,15	15,16,17	0.3333333333333333	0.6304347826086957	0.28148148148148144	0.6
deepseek-8b	WW-HC	TE-Mag	val	base	act/6	0	6		0.0		13,14,15	15,16,17	0.23913043478260873	0.6086956521739131	0.2962962962962963	0.5777777777777777
deepseek-8b	WW-HC	TE-Mag	val	soap	act/6	0	6	8-16	0.0	all	13,14,15	15,16,17	0.23913043478260873	0.6086956521739131	0.2962962962962963	0.5777777777777777
deepseek-8b	WW-HC	TE-Cap	test	base	act/31_normed	0	4		0.0		13,14,15	22,23,24	0.37209302325581395	0.627906976744186	0.2380952380952381	0.6507936507936508
deepseek-8b	WW-HC	TE-Cap	test	soap	act/31_normed	0	4	24-32	0.8	3	13,14,15	22,23,24	0.42635658914728686	0.6821705426356589	0.29365079365079366	0.626984126984127
deepseek-8b	WW-HC	TE-Cap	val	base	act/22	0	6		0.0		13,14,15	22,23,24	0.35658914728682173	0.6356589147286822	0.3333333333333333	0.6031746031746031
deepseek-8b	WW-HC	TE-Cap	val	soap	act/22	0	6	0-8	0.2	2	13,14,15	22,23,24	0.3565891472868217	0.6356589147286822	0.35714285714285715	0.6428571428571429
