model	subset	seed	traj_idx	n_steps	step_idx	role	base	final	rank	is_gold
qwen3.5-9b	captain	23	50	11	0	Orchestrator	0.0007579654338769615	0.0008402729872614145	7	False
qwen3.5-9b	captain	23	50	11	1	Orchestrator	0.0007099177455529571	0.0007850191323086619	9	False
qwen3.5-9b	captain	23	50	11	2	InformationExtraction_Expert	0.0009793434292078018	0.0010719767305999994	3	False
qwen3.5-9b	captain	23	50	11	3	Orchestrator	0.0006804708391427994	0.0007550676818937063	10	False
qwen3.5-9b	captain	23	50	11	4	InformationExtraction_Expert	0.0010473774746060371	0.001139103900641203	1	True
qwen3.5-9b	captain	23	50	11	5	Orchestrator	0.0007348754443228245	0.0008299790206365287	8	False
qwen3.5-9b	captain	23	50	11	6	InformationExtraction_Expert	0.000872437609359622	0.0009625456877984107	6	False
qwen3.5-9b	captain	23	50	11	7	Orchestrator	0.0007246153545565903	0.0007246153545565903	11	False
qwen3.5-9b	captain	23	50	11	8	InformationExtraction_Expert	0.0010299141285941005	0.001127926749177277	2	False
qwen3.5-9b	captain	23	50	11	9	Orchestrator	0.0008905900758691132	0.0009958730079233646	5	False
qwen3.5-9b	captain	23	50	11	10	Orchestrator	0.001052828854881227	0.001052828854881227	4	False
